PersonRegistrationAddressRegion,CreditHistoryLast2MonthCreditsCount,CreditHistoryActiveCreditsOverdueCount,CreditHistoryTotalPastDueAmount,CreditHistoryActiveCreditsOneMonthOverdueCount,CreditHistoryActiveCreditsTwoMonthsOverdueCount,CreditHistoryActiveCreditsMoreThreeMonthsOverdueCount,FsspActiveCreditDebtAmount,FsspActiveDebtAmount,loan_approve
54.0,18.0,7.0,114842.0,2.0,2.0,3.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,36.0,43296.0,35.0,1.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12368.11,0.0
78.0,9.0,5.0,316660.0,1.0,0.0,4.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,4.0,22394.0,1.0,2.0,1.0,0.0,0.0,0.0
43.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,500.0,0.0
66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,3.0,13839.0,1.0,1.0,1.0,0.0,42565.2,0.0
54.0,19.0,2.0,7040.0,2.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,27.0,7.0,85876.0,6.0,1.0,0.0,0.0,0.0,0.0
28.0,0.0,1.0,18300.0,0.0,0.0,1.0,0.0,19936.5,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,5.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,1.0,5478.0,0.0,0.0,1.0,0.0,2406.14,0.0
58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,1.0,1679.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,6.0,5.0,64.82,4.0,0.0,1.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,6.0,564853.0,0.0,1.0,5.0,0.0,0.0,0.0
24.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,1.0,0.0,27232.34,0.0,0.0,0.0,0.0,0.0,1.0
86.0,1.0,0.0,97513.87,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,74.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,3.0,3505.0,3.0,0.0,0.0,0.0,92202.92,0.0
71.0,8.0,16.0,275729.0,14.0,2.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,2.0,160849.0,0.0,0.0,2.0,469.5,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45.0,14.0,6.0,110200.92,5.0,0.0,1.0,0.0,0.0,1.0
78.0,39.0,10.0,162112.0,8.0,1.0,1.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,11.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
38.0,0.0,1.0,26513.0,1.0,0.0,0.0,0.0,28508.0,0.0
37.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
66.0,0.0,1.0,47539.03,0.0,0.0,1.0,0.0,0.0,1.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,36.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
56.0,3.0,3.0,2250.0,0.0,0.0,3.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,1.0,47539.03,0.0,0.0,1.0,0.0,0.0,1.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,4023.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,3.0,42.0,46067.0,34.0,3.0,5.0,0.0,0.0,0.0
1.0,2.0,2.0,48630.0,1.0,0.0,1.0,0.0,0.0,0.0
25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,3224.0,0.0,0.0,0.0,0.0,23525.26,0.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,7.0,168722.0,0.0,0.0,7.0,0.0,5000.0,0.0
50.0,0.0,1.0,105404.0,0.0,0.0,1.0,0.0,111567.25,0.0
70.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,3.0,10672.0,0.0,0.0,3.0,0.0,0.0,0.0
63.0,13.0,1.0,11920.0,0.0,1.0,0.0,0.0,1500.0,0.0
63.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,39654.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,6.0,82881.0,3.0,0.0,3.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,3.0,80404.0,3.0,0.0,0.0,0.0,61298.35,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,5.0,2.0,57479.0,2.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,4.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,7.0,15.0,153827.0,11.0,0.0,4.0,0.0,0.0,0.0
18.0,4.0,3.0,60845.0,3.0,0.0,0.0,0.0,0.0,0.0
63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
29.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
16.0,27.0,0.0,50205.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
77.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,1.0,82223.02,0.0,0.0,1.0,0.0,0.0,0.0
61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59.0,1.0,5.0,182578.0,2.0,0.0,3.0,0.0,0.0,0.0
26.0,0.0,7.0,91479.0,3.0,0.0,4.0,0.0,18860.0,0.0
73.0,0.0,3.0,151321.0,1.0,0.0,2.0,46457.12,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,11.0,10.0,93163.0,10.0,0.0,0.0,0.0,0.0,0.0
29.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,17009.73,1.0,0.0,1.0,0.0,5240.4,1.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,334782.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,29.0,0.0,39513.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0
78.0,4.0,0.0,11146.12,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,23.0,191870.0,7.0,7.0,9.0,0.0,25588.52,0.0
16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7343.56,0.0
21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2271.47,0.0
22.0,0.0,1.0,3342.0,0.0,1.0,0.0,196721.98,128022.99,0.0
50.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33.0,21.0,1.0,5676.0,0.0,0.0,1.0,0.0,0.0,0.0
56.0,24.0,0.0,20000.0,0.0,0.0,0.0,0.0,33100.87,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,1.0,22201.0,0.0,1.0,0.0,0.0,0.0,0.0
58.0,1.0,3.0,38084.0,1.0,0.0,2.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,2.0,17009.73,1.0,0.0,1.0,0.0,5240.4,1.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,29.0,24.0,50928.0,22.0,2.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41697.86,0.0
16.0,18.0,5.0,19232.0,3.0,1.0,1.0,0.0,0.0,0.0
21.0,0.0,2.0,40800.0,1.0,0.0,1.0,0.0,0.0,0.0
33.0,7.0,1.0,60543.0,1.0,0.0,0.0,0.0,0.0,0.0
54.0,13.0,2.0,14055.0,2.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,61000.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,7.0,5.0,158989.0,3.0,0.0,2.0,0.0,0.0,0.0
50.0,28.0,9.0,93112.0,8.0,1.0,0.0,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,2.0,31298.0,2.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3967.0,0.0
26.0,17.0,0.0,5122.0,0.0,0.0,0.0,0.0,0.0,1.0
48.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,20368.86,0.0,0.0
71.0,34.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,40.0,0.0,21136.0,0.0,0.0,0.0,0.0,0.0,1.0
71.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11868.18,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,19.0,1.0,17550.0,1.0,0.0,0.0,0.0,0.0,0.0
72.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,4.0,9273.0,1.0,0.0,3.0,0.0,0.0,0.0
42.0,13.0,3.0,73348.0,1.0,2.0,0.0,0.0,0.0,0.0
61.0,3.0,12.0,2292.0,12.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,8.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
70.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.0,426.0,2.0,0.0,1.0,0.0,0.0,0.0
47.0,0.0,1.0,13532.0,0.0,0.0,1.0,0.0,0.0,0.0
60.0,27.0,24.0,557905.0,11.0,4.0,9.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.0,745389.0,0.0,0.0,3.0,1312123.69,393177533.93,0.0
77.0,5.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,3.0,41828.0,3.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77.0,5.0,1.0,20460.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77.0,1.0,3.0,33813.0,1.0,2.0,0.0,0.0,25588.52,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,19.0,1.0,17550.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0,2.0,10.0,68579.0,6.0,0.0,4.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,9.0,67.0,542809.0,58.0,3.0,6.0,0.0,65314.66,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,2.0,62717.0,2.0,0.0,0.0,0.0,3561.35,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168580.21,0.0
2.0,0.0,1.0,158249.0,1.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,1.0,11000.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4762.0,1.0
30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.0,2000.0,1.0,1.0,1.0,0.0,800.0,0.0
55.0,3.0,6.0,37471.0,6.0,0.0,0.0,0.0,30948.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,5.0,199289.0,1.0,0.0,4.0,0.0,138545.87,0.0
23.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,17.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0
50.0,3.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,3.0,1.0,15327.0,1.0,0.0,0.0,0.0,0.0,0.0
63.0,1.0,3.0,129731.0,0.0,0.0,3.0,89902.07,0.0,0.0
52.0,0.0,9.0,107722.0,3.0,2.0,4.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,2.0,3.0,500.0,1.0,2.0,0.0,0.0,5000.0,0.0
70.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
